t,V
13.53179973,0.691451332
5.41E+01,6.91E-01
1.23E+02,6.79E-01
2.08E+02,6.73E-01
317.9972936,0.674606095
431.6644114,0.673340037
525.0338295,0.673425306
598.105548,0.671437244
683.3558863,0.670830167
768.6062246,0.670223089
845.7374831,0.668923666
906.6305819,0.666924481
983.7618403,0.668364784
1052.774019,0.666373014
1121.786198,0.665066176
1190.798376,0.663759338
1288.227334,0.663163383
1353.179973,0.662537769
1442.489851,0.659879604
1503.38295,0.659250283
1669.824087,0.643648859
1746.955345,0.647143956
1828.146143,0.649272897
1905.277402,0.650028268
1982.40866,0.650098708
2071.718539,0.649495338
2148.849797,0.650250709
2225.981055,0.650321149
2307.171854,0.649710364
2368.064953,0.649081043
2473.612991,0.647122639
2550.744249,0.647193078
2640.054127,0.645904777
2717.185386,0.645290285
2802.435724,0.644683208
2879.566982,0.644068716
2952.638701,0.642765585
3037.889039,0.642843439
3106.901218,0.642906464
3196.211096,0.641618162
3253.044655,0.641670065
3326.116373,0.641051866
3395.128552,0.640429959
3456.021651,0.639800638
3520.97429,0.639859955
3573.748309,0.639223219
3699.594046,0.624269654
3776.725304,0.626394888
3829.499323,0.62507322
3882.273342,0.620326895
3959.404601,0.62313706
4028.416779,0.623200085
4093.369418,0.623259403
4150.202977,0.621941443
4227.334235,0.623381745
4288.227334,0.621382561
4365.358593,0.620768069
4446.549391,0.618787421
4515.56157,0.618165514
4592.692828,0.617551022
4653.585927,0.616921701
4714.479026,0.614922517
4811.907984,0.614326561
4884.979702,0.61302343
4945.872801,0.610339315
5006.7659,0.604915473
