j,V
-1.82E-05,0.896378
-2.21E-05,0.896619
-0.000015,0.896863
-4.84E-05,0.896275
-0.0000025,0.896559
-2.18E-05,0.895966
2.56E-05,0.896446
0.006792688,0.894103
0.013005313,0.89106
0.019086813,0.88819
0.025202688,0.885469
0.03131975,0.883299
0.037389688,0.880238
0.043490188,0.877958
0.049568,0.875088
0.055671375,0.872822
0.061803938,0.86976
0.08158375,0.860914
0.10006375,0.853011
0.118366875,0.845384
0.138195,0.835881
0.15651375,0.827307
0.174919375,0.818883
0.19303375,0.810929
0.21289,0.80005
0.231263125,0.789238
0.24644375,0.779487
0.246488125,0.779946
0.261673125,0.770278
0.258695,0.772302
0.240359375,0.783555
0.222085,0.793597
0.203755,0.80404
0.183979375,0.814635
0.16559375,0.823225
0.147291875,0.831996
0.12755625,0.841216
0.109223125,0.849445
0.090820625,0.856115
0.072405,0.865789
0.052680313,0.873833
0.037490063,0.88026
0.022197063,0.887297
0.006872313,0.893254
-1.13E-06,0.895861
-2.20625E-05,0.895847
-2.71E-05,0.895946
1.71E-05,0.89655
-6.4375E-06,0.896856
-1.32E-05,0.896095
-0.000030625,0.896925
0.00004975,0.896933
-0.0000025,0.896573
1.59375E-05,0.896146
-3.42E-05,0.896456
-2.78E-05,0.896684
1.56E-05,0.8969
-0.006812313,0.899848
-0.01291225,0.901795
-0.019082938,0.905126
-0.025272125,0.907841
-0.03126,0.910158
-0.037398625,0.91239
-0.043390813,0.915293
-0.049587188,0.918359
-0.055616438,0.920838
-0.061785688,0.923233
-0.124573125,0.950538
-0.18696625,0.978575
-0.24947625,1.00679
-0.312225625,1.03667
-0.374758125,1.06854
-0.4374625,1.10094
-0.50012375,1.13468
-0.562740625,1.17064
-0.5779625,1.1815
-0.594653125,1.1925
-0.60994,1.20255
-0.625225,1.21213
-0.640525,1.22406
-0.6558,1.23486
-0.66336875,1.23977
-0.669525,1.24352
-0.67565,1.2485
-0.681675,1.25256
-0.6755375,1.24907
-0.613040625,1.21124
-0.550554375,1.1738
-0.487861875,1.13852
-0.425358125,1.10397
-0.36251375,1.07006
-0.299976875,1.03756
-0.23732125,1.00668
-0.17483,0.976659
-0.11224875,0.947303
-0.049560875,0.918192
-0.034353938,0.911388
-0.019087313,0.905291
-0.003867125,0.897929
0.000006,0.896474
0.000015625,0.896432
0.00000425,0.895944
-4.51875E-05,0.896273
9.5625E-06,0.896456
-6.19375E-05,0.896049
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
