f,real,imag
96850,1.58E-05,1.15E-06
79940,1.60E-05,1.26E-06
65983,1.61E-05,1.35E-06
54463,1.63E-05,1.74E-06
44954,1.65E-05,1.92E-06
37105,1.68E-05,2.16E-06
30627,0.000017024,2.41E-06
25279,0.000017344,2.73E-06
20866,1.77E-05,3.01E-06
17223,1.81E-05,3.31E-06
14216,1.86E-05,3.57E-06
11734,1.91E-05,3.80E-06
9685,0.000019664,4.06E-06
7994,2.03E-05,4.22E-06
6598,2.09E-05,4.40E-06
5446,2.16E-05,4.45E-06
4495,2.23E-05,4.47E-06
3710,0.000022888,4.49E-06
3063,2.36E-05,4.40E-06
2528,0.000024184,0.000004286
2087,2.48E-05,4.20E-06
1722,2.54E-05,4.02E-06
1422,0.00002588,3.82E-06
1173,2.64E-05,3.65E-06
968.5,2.68E-05,3.42E-06
799.4,2.72E-05,3.21E-06
659.8,2.76E-05,3.00E-06
544.6,2.79E-05,2.84E-06
449.5,2.83E-05,2.60E-06
371.1,2.85E-05,2.53E-06
306.3,2.87E-05,2.38E-06
252.8,2.90E-05,2.22E-06
208.7,0.000029224,2.17E-06
172.2,2.95E-05,0.000002089
142.2,0.000029712,2.03E-06
117.3,2.99E-05,1.92E-06
96.85,0.00003016,1.85E-06
79.94,3.03E-05,1.77E-06
65.98,0.000030504,1.67E-06
54.46,3.08E-05,1.71E-06
44.95,0.000030792,1.62E-06
37.1,0.000031008,1.52E-06
30.63,3.12E-05,1.49E-06
25.28,3.13E-05,1.50E-06
20.87,3.14E-05,1.51E-06
17.22,3.15E-05,1.59E-06
14.22,3.17E-05,1.71E-06
11.73,3.19E-05,1.88E-06
9.685,3.22E-05,0.000002033
7.994,3.26E-05,2.13E-06
6.598,3.30E-05,2.14E-06
5.446,3.34E-05,2.06E-06
4.495,3.37E-05,1.97E-06
3.71,3.40E-05,1.78E-06
3.062,3.42E-05,1.57E-06
2.528,0.000034384,1.32E-06
2.087,3.47E-05,1.22E-06
1.722,3.47E-05,9.64E-07
1.421,3.47E-05,9.47E-07
1.173,3.47E-05,7.12E-07
0.9685,0.000035312,6.05E-07
0.7994,3.51E-05,6.03E-07
0.6598,3.54E-05,3.82E-07
0.5446,0.000035152,4.47E-07
0.4495,3.53E-05,2.08E-07
0.371,3.52E-05,2.27E-07
0.3063,3.54E-05,2.86E-07
0.2528,3.53E-05,2.50E-07
0.2086,0.000035288,3.04E-07
0.1722,3.52E-05,0.00000005
0.1421,3.52E-05,1.39E-07
0.1173,0.000035496,1.94E-07
0.0968,3.55E-05,-2.81E-08
